
 memoria ; bateria,cpu ; crip ;   ;
  3 ; 83 ; 73 ; ##AES192## ;
  3 ; 83 ; 73 ; ##AES192## ;
  3 ; 83 ; 73 ; ##AES192## ;
  3 ; 83 ; 74 ; ##AES192## ;
  3 ; 83 ; 73 ; ##AES192## ;
  3 ; 83 ; 73 ; ##AES192## ;
  3 ; 83 ; 73 ; ##AES192## ;
  3 ; 83 ; 73 ; ##AES192## ;
  3 ; 83 ; 72 ; ##AES192## ;
  3 ; 83 ; 73 ; ##AES192## ;
  3 ; 83 ; 73 ; ##AES192## ;
  3 ; 83 ; 74 ; ##AES192## ;
  3 ; 83 ; 73 ; ##AES192## ;
  3 ; 83 ; 72 ; ##AES192## ;
  3 ; 83 ; 73 ; ##AES192## ;
  3 ; 83 ; 72 ; ##AES192## ;
  3 ; 83 ; 72 ; ##AES192## ;
  3 ; 83 ; 72 ; ##AES192## ;
  3 ; 83 ; 72 ; ##AES192## ;
  3 ; 83 ; 71 ; ##AES192## ;
  3 ; 83 ; 73 ; ##AES192## ;
  3 ; 83 ; 73 ; ##AES192## ;
  3 ; 83 ; 73 ; ##AES192## ;
  3 ; 83 ; 70 ; ##AES192## ;
