 ##AES192## , ##AES256## 
 0.003237 , 0.004529 
 0.003302 , 0.003491 
 0.003265 , 0.108405 
 0.002150 , 0.003468 
 0.003322 , 0.003316 
 0.003637 , 0.003329 
 0.003255 , 0.004300 
 0.003102 , 0.003405 
 0.003070 , 0.003631 
 0.003118 , 0.003201 
 0.002975 , 0.003132 
 0.003062 , 0.003032 
 0.002023 , 0.002955 
 0.001964 , 0.002078 
 0.003058 , 0.002047 
 0.003036 , 0.091139 
 0.003042 , 0.003395 
 0.003093 , 0.003400 
 0.003102 , 0.003387 
 0.003003 , 0.004545 
 0.003033 , 0.003478 
 0.003035 , 0.107146 
 0.003082 , 0.003274 
 0.076288 , 0.003251 
 0.003433 , 0.003146 
 0.003443 , 0.003273 
 0.003400 , 0.003299 
 0.003328 , 0.003330 
 0.004312 , 0.003531 
 0.106368 , 0.003096 
 0.003425 , 0.003063 
 0.003413 , 0.003086 
 0.003402 , 0.003049 
 0.003411 , 0.003124 
 0.004356 , 0.003018 
 0.004570 , 0.093191 
 0.003255 , 0.004480 
 0.003082 , 0.003334 
 0.002022 , 0.003413 
 0.001956 , 0.003309 
 0.002023 , 0.003305 
 0.002961 , 0.319438 
 0.092143 , 0.003492 
 0.003397 , 0.003374 
 0.003416 , 0.003376 
 0.003411 , 0.003377 
 0.003379 , 0.001968 
 0.002329 , 0.002153 
 0.003393 , 0.003493 
 0.105461 , 0.003373 
 0.003489 , 0.004429 
 0.003443 , 0.001903 
 0.003402 , 0.001828 
 0.003292 , 0.001778 
 0.004385 , 0.002768 
 0.003351 , 0.002924 
 0.003131 , 0.003226 
 0.001991 , 0.003336 
 0.001917 , 0.003269 
 0.002970 , 0.004397 
 0.002027 , 0.003379 
 0.001939 , 0.003704 
 0.093266 , 0.003264 
 0.004387 , 0.003057 
 0.003373 , 0.003081 
 0.003400 , 0.003012 
 0.004381 , 0.003081 
 0.003514 , 0.003035 
 0.106477 , 0.003029 
 0.003492 , 0.003018 
 0.003408 , 0.003039 
 0.003329 , 0.002076 
 0.004354 , 0.003145 
 0.003449 , 0.002029 
 0.004418 , 0.002088 
 0.003028 , 0.002049 
 0.002995 , 0.002053 
 0.003025 , 0.002104 
 0.001959 , 0.002064 
 0.002954 , 0.001984 
 0.001970 , 0.071124 
 0.102459 , 0.003368 
 0.003533 , 0.003379 
 0.004705 , 0.003432 
 0.003358 , 0.004531 
 0.002010 , 0.003358 
 0.002049 , 0.003545 
 0.003025 , 0.107820 
 0.097264 , 0.003431 
 0.003330 , 0.003394 
 0.003279 , 0.003373 
 0.003332 , 0.003384 
 0.003337 , 0.004504 
 0.002270 , 0.004739 
 0.003399 , 0.003074 
 0.002456 , 0.003092 
 0.001952 , 0.003065 
 0.003079 , 0.003139 
 0.003126 , 0.003094 
 0.003069 , 0.003032 
 0.003111 , 0.095192 
 0.094235 , 0.003429 
 0.003445 , 0.003392 
 0.003414 , 0.004476 
 0.003445 , 0.003370 
 0.003246 , 0.003415 
 0.003388 , 0.109252 
 0.110288 , 0.003473 
 0.003415 , 0.003410 
 0.003336 , 0.004438 
 0.003387 , 0.003359 
 0.003406 , 0.004379 
 0.003230 , 0.003349 
 0.003332 , 0.003276 
 0.003689 , 0.003113 
 0.002101 , 0.002067 
 0.003098 , 0.001995 
 0.003177 , 0.003099 
 0.002022 , 0.003095 
 0.002062 , 0.095094 
 0.097216 , 0.003334 
 0.003433 , 0.003443 
 0.003440 , 0.003439 
 0.003409 , 0.003455 
 0.003215 , 0.003439 
 0.003352 , 0.004632 
 0.003349 , 0.105338 
 0.101426 , 0.003319 
 0.004459 , 0.003281 
 0.003415 , 0.003282 
 0.003338 , 0.003300 
 0.003274 , 0.003374 
 0.003421 , 0.003669 
 0.004547 , 0.003172 
 0.003068 , 0.003115 
 0.003100 , 0.003118 
 0.002967 , 0.003031 
 0.003046 , 0.003069 
 0.003024 , 0.003053 
 0.001977 , 0.093217 
 0.086157 , 0.003358 
 0.003459 , 0.003425 
 0.003332 , 0.003451 
 0.003398 , 0.003515 
 0.003313 , 0.003483 
 0.003363 , 0.106250 
 0.110290 , 0.004375 
 0.003451 , 0.003289 
 0.003430 , 0.003362 
 0.004473 , 0.003297 
 0.003431 , 0.003360 
 0.003503 , 0.003575 
 0.004687 , 0.003300 
 0.003101 , 0.002109 
 0.003073 , 0.002058 
 0.002997 , 0.001998 
 0.002959 , 0.003048 
 0.001993 , 0.003119 
 0.001940 , 0.096162 
 0.105515 , 0.003376 
 0.003523 , 0.004422 
 0.004386 , 0.003451 
 0.003166 , 0.003502 
 0.002058 , 0.003320 
 0.001988 , 0.003526 
 0.002940 , 0.110894 
 0.094898 , 0.002254 
 0.004437 , 0.002170 
 0.004390 , 0.003399 
 0.004318 , 0.003376 
 0.003341 , 0.003417 
 0.004358 , 0.003458 
 0.003257 , 0.002351 
 0.003219 , 0.003038 
 0.002011 , 0.002109 
 0.002946 , 0.003045 
 0.003064 , 0.001991 
 0.002978 , 0.002030 
 0.001957 , 0.095193 
 0.089157 , 0.003383 
 0.004500 , 0.003411 
 0.003380 , 0.003488 
 0.004386 , 0.003385 
 0.004405 , 0.003420 
 0.004573 , 0.109439 
 0.105424 , 0.004491 
 0.003412 , 0.003335 
 0.003392 , 0.003338 
 0.003416 , 0.003388 
 0.003452 , 0.003491 
 0.003329 , 0.003685 
 0.002326 , 0.003137 
 0.004640 , 0.003085 
 0.003051 , 0.003035 
 0.003046 , 0.002036 
 0.003117 , 0.002059 
 0.002024 , 0.002065 
 0.002021 , 0.095026 
 0.095131 , 0.003424 
 0.003422 , 0.003325 
 0.004439 , 0.003512 
 0.003307 , 0.003463 
 0.003485 , 0.003351 
 0.003477 , 0.003428 
 0.003552 , 0.107251 
 0.102316 , 0.003405 
 0.004508 , 0.004502 
 0.003379 , 0.003299 
 0.003408 , 0.003343 
 0.003319 , 0.003373 
 0.004301 , 0.003759 
 0.004283 , 0.003071 
 0.003177 , 0.003105 
 0.002984 , 0.003044 
 0.001966 , 0.002978 
 0.002059 , 0.002064 
 0.001978 , 0.003065 
 0.002974 , 0.095178 
 0.090190 , 0.003411 
 0.003462 , 0.003300 
 0.003477 , 0.003407 
 0.003483 , 0.003322 
 0.003347 , 0.003502 
 0.004407 , 0.106372 
 0.106319 , 0.003356 
 0.004422 , 0.003312 
 0.004239 , 0.003307 
 0.003385 , 0.003328 
 0.003277 , 0.004375 
 0.004392 , 0.003578 
 0.004706 , 0.003216 
 0.003061 , 0.003112 
 0.002074 , 0.003069 
 0.002004 , 0.002982 
 0.001935 , 0.003047 
 0.003062 , 0.003075 
 0.001987 , 0.093127 
 0.094128 , 0.003387 
 0.003400 , 0.003328 
 0.003338 , 0.004501 
 0.003436 , 0.003453 
 0.002345 , 0.003415 
 0.003345 , 0.003585 
 0.003364 , 0.098351 
 0.104531 , 0.003453 
 0.003439 , 0.003355 
 0.003293 , 0.004420 
 0.004309 , 0.003420 
 0.003214 , 0.003459 
 0.003457 , 0.003597 
 0.003539 , 0.002047 
 0.003107 , 0.002138 
 0.002045 , 0.002001 
 0.001962 , 0.002026 
 0.001981 , 0.003123 
 0.003804 , 0.003001 
 0.003359 , 0.085130 
 0.092866 , 0.003368 
 0.003266 , 0.003297 
